<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;5;20180903;100500;107900.0000000;108060.0000000;107900.0000000;108000.0000000;17
SPFB.RTS-12.18;5;20180903;101000;108080.0000000;108250.0000000;108080.0000000;108250.0000000;16
SPFB.RTS-12.18;5;20180903;101500;108250.0000000;108290.0000000;108200.0000000;108290.0000000;14
SPFB.RTS-12.18;5;20180903;102000;108050.0000000;108050.0000000;108030.0000000;108030.0000000;16
SPFB.RTS-12.18;5;20180903;102500;108000.0000000;108000.0000000;107980.0000000;107980.0000000;7
SPFB.RTS-12.18;5;20180903;103000;108000.0000000;108000.0000000;107720.0000000;107720.0000000;23
SPFB.RTS-12.18;5;20180903;103500;107750.0000000;108010.0000000;107720.0000000;107950.0000000;164
SPFB.RTS-12.18;5;20180903;104000;108000.0000000;108050.0000000;108000.0000000;108050.0000000;22
SPFB.RTS-12.18;5;20180903;104500;108030.0000000;108030.0000000;108030.0000000;108030.0000000;8
SPFB.RTS-12.18;5;20180903;105000;108030.0000000;108050.0000000;108030.0000000;108050.0000000;3
SPFB.RTS-12.18;5;20180903;110500;108030.0000000;108220.0000000;108030.0000000;108140.0000000;10
SPFB.RTS-12.18;5;20180903;111000;108110.0000000;108250.0000000;108110.0000000;108250.0000000;11
SPFB.RTS-12.18;5;20180903;112500;107950.0000000;108030.0000000;107910.0000000;107910.0000000;35
SPFB.RTS-12.18;5;20180903;113000;107780.0000000;107810.0000000;107780.0000000;107810.0000000;11
SPFB.RTS-12.18;5;20180903;115000;107840.0000000;107880.0000000;107840.0000000;107880.0000000;2
SPFB.RTS-12.18;5;20180903;120000;107740.0000000;107740.0000000;107650.0000000;107680.0000000;62
SPFB.RTS-12.18;5;20180903;120500;107710.0000000;107710.0000000;107710.0000000;107710.0000000;1
SPFB.RTS-12.18;5;20180903;121000;107630.0000000;107640.0000000;107450.0000000;107450.0000000;10
SPFB.RTS-12.18;5;20180903;121500;107680.0000000;107770.0000000;107680.0000000;107770.0000000;3
SPFB.RTS-12.18;5;20180903;123500;107700.0000000;107700.0000000;107680.0000000;107680.0000000;6
SPFB.RTS-12.18;5;20180903;124000;107680.0000000;107680.0000000;107680.0000000;107680.0000000;2
SPFB.RTS-12.18;5;20180903;124500;107680.0000000;107680.0000000;107500.0000000;107500.0000000;9
SPFB.RTS-12.18;5;20180903;125500;107530.0000000;107540.0000000;107450.0000000;107450.0000000;17
SPFB.RTS-12.18;5;20180903;130000;107510.0000000;107510.0000000;107500.0000000;107500.0000000;5
SPFB.RTS-12.18;5;20180903;130500;107500.0000000;107500.0000000;107380.0000000;107380.0000000;28
SPFB.RTS-12.18;5;20180903;131000;107370.0000000;107370.0000000;107370.0000000;107370.0000000;1
SPFB.RTS-12.18;5;20180903;131500;107530.0000000;107610.0000000;107530.0000000;107610.0000000;3
SPFB.RTS-12.18;5;20180903;132000;107580.0000000;107610.0000000;107580.0000000;107610.0000000;5
SPFB.RTS-12.18;5;20180903;134000;107430.0000000;107470.0000000;107430.0000000;107470.0000000;6
SPFB.RTS-12.18;5;20180903;134500;107470.0000000;107470.0000000;107470.0000000;107470.0000000;1
SPFB.RTS-12.18;5;20180903;135000;107640.0000000;107640.0000000;107640.0000000;107640.0000000;1
SPFB.RTS-12.18;5;20180903;140000;107640.0000000;107640.0000000;107590.0000000;107590.0000000;9
SPFB.RTS-12.18;5;20180903;141000;107770.0000000;107770.0000000;107650.0000000;107660.0000000;8
SPFB.RTS-12.18;5;20180903;141500;107590.0000000;107590.0000000;107590.0000000;107590.0000000;1
SPFB.RTS-12.18;5;20180903;142000;107640.0000000;107650.0000000;107540.0000000;107650.0000000;10
SPFB.RTS-12.18;5;20180903;142500;107640.0000000;107640.0000000;107640.0000000;107640.0000000;1
SPFB.RTS-12.18;5;20180903;143000;107550.0000000;107670.0000000;107550.0000000;107570.0000000;9
SPFB.RTS-12.18;5;20180903;143500;107570.0000000;107570.0000000;107570.0000000;107570.0000000;1
SPFB.RTS-12.18;5;20180903;144000;107550.0000000;107650.0000000;107550.0000000;107650.0000000;10
SPFB.RTS-12.18;5;20180903;144500;107500.0000000;107500.0000000;107500.0000000;107500.0000000;7
SPFB.RTS-12.18;5;20180903;145000;107480.0000000;107480.0000000;107480.0000000;107480.0000000;4
SPFB.RTS-12.18;5;20180903;145500;107680.0000000;107680.0000000;107530.0000000;107530.0000000;6
SPFB.RTS-12.18;5;20180903;150000;107530.0000000;107530.0000000;107530.0000000;107530.0000000;2
SPFB.RTS-12.18;5;20180903;150500;107630.0000000;107640.0000000;107630.0000000;107640.0000000;4
SPFB.RTS-12.18;5;20180903;152000;107620.0000000;107650.0000000;107620.0000000;107650.0000000;6
SPFB.RTS-12.18;5;20180903;154500;107630.0000000;107720.0000000;107630.0000000;107720.0000000;6
SPFB.RTS-12.18;5;20180903;155000;107700.0000000;107700.0000000;107700.0000000;107700.0000000;1
SPFB.RTS-12.18;5;20180903;155500;107630.0000000;107630.0000000;107630.0000000;107630.0000000;1
SPFB.RTS-12.18;5;20180903;160000;107650.0000000;107650.0000000;107650.0000000;107650.0000000;1
SPFB.RTS-12.18;5;20180903;162500;107660.0000000;107660.0000000;107660.0000000;107660.0000000;1
SPFB.RTS-12.18;5;20180903;163500;107790.0000000;107790.0000000;107790.0000000;107790.0000000;1
SPFB.RTS-12.18;5;20180903;164000;107750.0000000;107750.0000000;107750.0000000;107750.0000000;3
SPFB.RTS-12.18;5;20180903;164500;107750.0000000;107750.0000000;107750.0000000;107750.0000000;1
SPFB.RTS-12.18;5;20180903;165500;107710.0000000;107710.0000000;107710.0000000;107710.0000000;11
SPFB.RTS-12.18;5;20180903;170000;107720.0000000;107720.0000000;107720.0000000;107720.0000000;2
SPFB.RTS-12.18;5;20180903;170500;107660.0000000;107660.0000000;107600.0000000;107600.0000000;2
SPFB.RTS-12.18;5;20180903;171500;107560.0000000;107560.0000000;107560.0000000;107560.0000000;1
SPFB.RTS-12.18;5;20180903;172000;107500.0000000;107500.0000000;107470.0000000;107470.0000000;2
SPFB.RTS-12.18;5;20180903;173500;107580.0000000;107600.0000000;107580.0000000;107600.0000000;3
