<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180903,100000,108960.0000000,109280.0000000,108660.0000000,109220.0000000,15333
SPFB.RTS-9.18,15,20180903,101500,109220.0000000,109260.0000000,108740.0000000,108810.0000000,11148
SPFB.RTS-9.18,15,20180903,103000,108800.0000000,109200.0000000,108690.0000000,109110.0000000,8189
SPFB.RTS-9.18,15,20180903,104500,109110.0000000,109150.0000000,108930.0000000,109040.0000000,4518
SPFB.RTS-9.18,15,20180903,110000,109040.0000000,109340.0000000,108900.0000000,109190.0000000,8527
SPFB.RTS-9.18,15,20180903,111500,109190.0000000,109210.0000000,108680.0000000,108910.0000000,9343
SPFB.RTS-9.18,15,20180903,113000,108900.0000000,108980.0000000,108810.0000000,108810.0000000,3750
SPFB.RTS-9.18,15,20180903,114500,108810.0000000,108910.0000000,108550.0000000,108570.0000000,7398
SPFB.RTS-9.18,15,20180903,120000,108580.0000000,108720.0000000,108430.0000000,108700.0000000,9282
SPFB.RTS-9.18,15,20180903,121500,108700.0000000,108770.0000000,108610.0000000,108640.0000000,3753
SPFB.RTS-9.18,15,20180903,123000,108640.0000000,108720.0000000,108380.0000000,108410.0000000,3771
SPFB.RTS-9.18,15,20180903,124500,108400.0000000,108490.0000000,108320.0000000,108410.0000000,3743
SPFB.RTS-9.18,15,20180903,130000,108400.0000000,108540.0000000,108250.0000000,108500.0000000,6431
SPFB.RTS-9.18,15,20180903,131500,108500.0000000,108630.0000000,108430.0000000,108520.0000000,3910
SPFB.RTS-9.18,15,20180903,133000,108520.0000000,108550.0000000,108310.0000000,108470.0000000,3925
SPFB.RTS-9.18,15,20180903,134500,108480.0000000,108620.0000000,108450.0000000,108620.0000000,2702
SPFB.RTS-9.18,15,20180903,140000,108620.0000000,108690.0000000,108480.0000000,108560.0000000,4221
SPFB.RTS-9.18,15,20180903,141500,108580.0000000,108630.0000000,108490.0000000,108520.0000000,2993
SPFB.RTS-9.18,15,20180903,143000,108510.0000000,108570.0000000,108420.0000000,108490.0000000,3131
SPFB.RTS-9.18,15,20180903,144500,108490.0000000,108650.0000000,108400.0000000,108520.0000000,5279
SPFB.RTS-9.18,15,20180903,150000,108520.0000000,108600.0000000,108410.0000000,108540.0000000,4878
SPFB.RTS-9.18,15,20180903,151500,108530.0000000,108590.0000000,108460.0000000,108580.0000000,4980
SPFB.RTS-9.18,15,20180903,153000,108580.0000000,108700.0000000,108470.0000000,108690.0000000,3453
SPFB.RTS-9.18,15,20180903,154500,108690.0000000,108740.0000000,108540.0000000,108560.0000000,3972
SPFB.RTS-9.18,15,20180903,160000,108560.0000000,108650.0000000,108520.0000000,108640.0000000,3278
SPFB.RTS-9.18,15,20180903,161500,108640.0000000,108740.0000000,108610.0000000,108740.0000000,3442
